Category,Parent,Child
レイアウト,椅子,"座席, 座る場所, 席の角度"
レイアウト,テーブル,"食事用, 作業用, 飾り用"
レイアウト,日陰,"影, 日差しの入り方"
レイアウト,通路,"動線, 広さ, 出入口へのアクセス"
レイアウト,入り口,"お店の正面, お店の裏側"
レイアウト,テント,"屋根, 日よけ, パーティション"
レイアウト,スペース,"空間, 広さ, 区画"
レイアウト,配置,"視線方向, 席の角度, 動線, パーティション, 緑の植物"
レイアウト,市場構造,"店舗間の関係, 通路構造, 動線パターン"
レイアウト,景色,"窓の向き, 視界, 緑の植物"
商品展示,ディスプレイ棚,"棚, 段, 箱, テーブル上, バスケット, ガラス容器"
商品展示,商品,"野菜, 魚, 花屋の商品, パッケージ, 調理器具"
商品展示,陳列方法,"野菜の並べ方, 盛り付け, 見せ方, プレゼンテーション, 商品の配置"
商品展示,デザイン要素,"色, 質感, 魚の旗"
子ども向けスペースイベント,対象,"子ども, 女の子, 親子, 家族, 家族連れ, 子連れ"
子ども向けスペースイベント,食べ物・飲み物,"屋台, かき氷, お菓子, シェイク, 飲み物, テイクアウト"
子ども向けスペースイベント,季節・環境,"夏, 日陰, 朝早い時間"
子ども向けスペースイベント,スペース,"座るスペース, 居心地, 家族体験"
子ども向けスペースイベント,雰囲気・楽しみ方,"カラフル, 楽しむ"
広告,サイン・看板,"看板, サイン, 店名, メニュー, 値段, 価格, 表示方法"
広告,デザイン要素,"色, 模様, バスケット装飾, 旗, 魚の描かれた旗, イラスト, キャッチー"
広告,宣伝手法,"コマーシャル, 宣伝, プレゼンテーション, ディスプレイ改善"
広告,雰囲気・印象,カフェ雰囲気
