Question_id,Question_list,Total
Q001,お店のラインナップの良い点や悪い点はあるか？,8
Q002,お店や場所の情報だけで季節や時間帯を想像できるか？,8
Q003,この場所をより魅力的にするには何があればいいか？,8
Q004,すべてのお店の詳細が確認できるか？,8
Q005,どんな客層が一番楽しめそうか？,8
Q006,もう１つお店を増やすなら何がいいか？,8
Q007,もし自分が主催者なら変更する部分はあるか？,8
Q008,ポップアップ等はしっかりと確認できるか？,8
Q009,一人でも参加しやすいか？,8
Q010,五感すべてで楽しめそうな場所か？,8
Q011,写真や映像を見たときに行きたいと感じたお店はあるか？,8
Q012,危険だと感じるものや場所はあるか？,8
Q013,大まかな動線は把握できるか？,8
Q014,子どもと来ても楽しめそうな場所か？,8
Q015,実際にこのイベントに参加したいか？,8
Q016,実際に通りかかったときにイベントに参加しやすいか？,8
Q017,見えているものの中で生きたい順番をつけるならどうなるか？,8
Q018,雨だったら小雨でも行かないくらいですか？,1
